ID,Sura_No,Verse_No,Column5,Word_No,Word,Without_Diacritics,Segmented_Word,Morph_tag,Morph_type,Punctuation_Mark,Invariable_Declinable,Syntactic_Role,Possessive_Construct,Case_Mood,Case_Mood_Marker,Phrase,Phrasal_Function,Notes
10,1,3,2,1,الرَّحِيمِ,الرحيم,ال,DET,Prefix,,ال التعريف,,,,,,,
10,1,3,2,2,الرَّحِيمِ,الرحيم,رحيم,NOUN_PROP,Stem,,معرب,نعت,غير مضاف,مجرور,الكسرة,,,
11,1,4,1,1,مَالِكِ,مالك,مالك,NOUN_ACTIVE_PART,Stem,,معرب,نعت,مضاف,مجرور,الكسرة,,,
12,1,4,2,1,يَوْمِ,يوم,يوم,NOUN_ABSTRACT,Stem,,معرب,مضاف إليه,مضاف,مجرور,الكسرة,,,
12,1,4,2,2,يَوْمِ,يوم,(null),CASE_DEF_ACC,Suffix,,None,,,,,,,
13,1,4,3,1,الدِّينِ,الدين,ال,DET,Prefix,,ال التعريف,,,,,,,
13,1,4,3,2,الدِّينِ,الدين,دين,NOUN_ABSTRACT,Stem,.,معرب,مضاف إليه,غير مضاف,مجرور,الكسرة,,,
14,1,5,1,1,إِيَّاكَ,إياك,إياك,PRON,Stem,,ضمير منفصل مبني,مفعول به,غير مضاف,منصوب,الفتحة,,,
15,1,5,2,1,نَعْبُدُ,نعبد,ن,IMPERF_PREF,Prefix,,None,,,,,,,
15,1,5,2,2,نَعْبُدُ,نعبد,عبد,IV,Stem,,معرب,فعل مضارع,غير مضاف,مرفوع,الضمة,,,
16,1,5,3,1,وَإِيَّاكَ,وإياك,و,CONJ,Prefix,,مبني,حرف عطف,غير مضاف,مبني,الفتحة,,,
16,1,5,3,2,وَإِيَّاكَ,وإياك,إياك,PRON,Stem,,ضمير منفصل مبني,مفعول به,غير مضاف,منصوب,الفتحة,,,
17,1,5,4,1,نَسْتَعِينُ,نستعين,ن,IMPERF_PREF,Prefix,,None,,,,,,,
17,1,5,4,2,نَسْتَعِينُ,نستعين,ستعين,IV,Stem,.,معرب,فعل مضارع,غير مضاف,مرفوع,الضمة,,,
18,1,6,1,1,اهْدِنَا,اهدنا,اهد,CV,Stem,,مبني,فعل أمر,غير مضاف,مبني,حذف حرف العلة,,,
18,1,6,1,2,اهْدِنَا,اهدنا,نا,OBJ_PRON,Suffix,,ضمير متصل,مفعول به,غير مضاف,منصوب,السكون,,,
19,1,6,2,1,الصِّرَاطَ,الصراط,ال,DET,Prefix,,ال التعريف,,,,,,,
19,1,6,2,2,الصِّرَاطَ,الصراط,صراط,NOUN_ABSTRACT,Stem,,معرب,مفعول به,غير مضاف,منصوب,الفتحة,,,
20,1,6,3,1,الْمُسْتَقِيمَ,المستقيم,ال,DET,Prefix,,ال التعريف,,,,,,,
20,1,6,3,2,الْمُسْتَقِيمَ,المستقيم,مستقيم,NOUN_ACTIVE_PART,Stem,,معرب,نعت,غير مضاف,منصوب,الفتحة,,,
20,1,6,3,3,الْمُسْتَقِيمَ,المستقيم,(null),CASE_DEF_ACC,Suffix,,None,,,,,,,
21,1,7,1,1,صِرَاطَ,صراط,صراط,NOUN_ABSTRACT,Stem,,معرب,بدل,مضاف,منصوب,الفتحة,,,
22,1,7,2,1,الَّذِينَ,الذين,الذين,REL_PRON,Stem,,اسم موصول,مضاف إليه,غير مضاف,مجرور,الفتحة,,,
23,1,7,3,1,أَنْعَمْتَ,أنعمت,أنعم,PV,Stem,,مبني,فعل ماضٍ,غير مضاف,مبني,السكون,صلة الموصول لا محل لها من الإعراب,,
23,1,7,3,2,أَنْعَمْتَ,أنعمت,ت,SUBJ_PRON,Suffix,,ضمير متصل,فاعل,غير مضاف,مرفوع,الفتحة,,,
24,1,7,4,1,عَلَيْهِمْ,عليهم,علي,PREP,Stem,,مبني,حرف جر,غير مضاف,مبني,السكون,,,
24,1,7,4,2,عَلَيْهِمْ,عليهم,هم,PRON_3MP,Suffix,,ضمير متصل,اسم مجرور,غير مضاف,مجرور,السكون,,,
25,1,7,5,1,غَيْرِ,غير,غير,NOUN_ABSTRACT,Stem,,معرب,نعت,مضاف,مجرور,الكسرة,,,
25,1,7,5,2,غَيْرِ,غير,(null),CASE_DEF_GEN,Suffix,,None,,,,,,,
26,1,7,6,1,الْمَغْضُوبِ,المغضوب,ال,DET,Prefix,,ال التعريف,,,,,,,
26,1,7,6,2,الْمَغْضُوبِ,المغضوب,مغضوب,NOUN_PASSIVE_PART,Stem,,معرب,مضاف إليه,غير مضاف,مجرور,الكسرة,,,
27,1,7,7,1,عَلَيْهِمْ,عليهم,علي,PREP,Stem,,مبني,حرف جر,غير مضاف,مبني,السكون,,,
27,1,7,7,2,عَلَيْهِمْ,عليهم,هم,PRON_3MP,Suffix,,ضمير متصل,اسم مجرور,غير مضاف,مجرور,السكون,,,
28,1,7,8,1,وَلَا,ولا,و,CONJ,Prefix,,مبني,حرف عطف,غير مضاف,مبني,الفتحة,,,
28,1,7,8,2,وَلَا,ولا,لا,NEG_PART,Stem,,مبني,حرف غير عامل,غير مضاف,مبني,السكون,,,
29,1,7,9,1,الضَّالِّينَ,الضالين,ال,DET,Prefix,,ال التعريف,,,,,,,
29,1,7,9,2,الضَّالِّينَ,الضالين,ضال,NOUN_ACTIVE_PART,Stem,,معرب,اسم معطوف,غير مضاف,مجرور,الياء,,,
29,1,7,9,3,الضَّالِّينَ,الضالين,ين,NSUFF_MASC_PL_GEN,Suffix,.,None,,,,,,,
30,2,1,1,1,الم,الم,الم,OTHER,Stem,,مبني,حروف مقطعة,غير مضاف,مرفوع,السكون,,,
31,2,2,1,1,ذَلِكَ,ذلك,ذلك,DEM_PRON,Stem,,اسم إشارة,مبتدأ,غير مضاف,مرفوع,الفتحة,,,
32,2,2,2,1,الْكِتَابُ,الكتاب,ال,DET,Prefix,,ال التعريف,,,,,,,
32,2,2,2,2,الْكِتَابُ,الكتاب,كتاب,NOUN_CONCRETE,Stem,,معرب,خبر,غير مضاف,مرفوع,الضمة,,,
33,2,2,3,1,لَا,لا,لا,NEG_PART,Stem,,مبني,لا النافية للجنس,غير مضاف,مبني,السكون,,,هل لا هي لا النافية للجنس؟
34,2,2,4,1,رَيْبَ,ريب,ريب,GERUND,Stem,,مبني,اسم لا النافية للجنس,غير مضاف,منصوب,الفتحة,,,
34,2,2,4,2,رَيْبَ,ريب,(null),CASE_DEF_ACC,Suffix,,None,,,,,,,
35,2,2,5,1,فِيهِ,فيه,في,PREP,Stem,,مبني,حرف جر,غير مضاف,مبني,السكون,,,
35,2,2,5,2,فِيهِ,فيه,ه,PRON_3MS,Suffix,,ضمير متصل,اسم مجرور,غير مضاف,مجرور,الكسرة,,,
36,2,2,6,1,هُدَىً,هدى,هدي,GERUND,Stem,,معرب,خبر,غير مضاف,مرفوع,ضمة مقدرة,,,
37,2,2,7,1,لِلْمُتَّقِينَ,للمتقين,ل,PREP,Prefix,,مبني,حرف جر,غير مضاف,مبني,الكسرة,,,
37,2,2,7,2,لِلْمُتَّقِينَ,للمتقين,ال,DET,Prefix,,ال التعريف,,,,,,,
37,2,2,7,3,لِلْمُتَّقِينَ,للمتقين,متق,NOUN_ACTIVE_PART,Stem,,معرب,اسم مجرور,غير مضاف,مجرور,الياء,,,
37,2,2,7,4,لِلْمُتَّقِينَ,للمتقين,ين,NSUFF_MASC_PL_GEN,Suffix,,None,,,,,,,
38,2,3,1,1,الَّذِينَ,الذين,الذين,REL_PRON,Stem,,اسم موصول,نعت,غير مضاف,مجرور,الفتحة,,,
39,2,3,2,1,يُؤْمِنُونَ,يؤمنون,ي,IV3MP,Prefix,,معرب,,غير مضاف,مرفوع,ثبوت النون,,,
39,2,3,2,2,يُؤْمِنُونَ,يؤمنون,ؤمن,IV,Stem,,ضمير متصل,فعل مضارع,غير مضاف,مرفوع,السكون,,,
39,2,3,2,3,يُؤْمِنُونَ,يؤمنون,ون,IVSUFF_SUBJ:MP_MOOD:I,Suffix,,مبني,فاعل,غير مضاف,مبني,الفتحة,,,
40,2,3,3,1,بِالْغَيْبِ,بالغيب,ب,PREP,Prefix,,مبني,حرف جر,غير مضاف,مبني,الكسرة,,,
40,2,3,3,2,بِالْغَيْبِ,بالغيب,ال,DET,Prefix,,ال التعريف,,,,,,,
40,2,3,3,3,بِالْغَيْبِ,بالغيب,غيب,GERUND,Stem,,معرب,اسم مجرور,غير مضاف,مجرور,الكسرة,,,
41,2,3,4,1,وَيُقِيمُونَ,ويقيمون,و,CONJ,Prefix,,مبني,حرف عطف,غير مضاف,مبني,الفتحة,,,
41,2,3,4,2,وَيُقِيمُونَ,ويقيمون,ي,IMPERF_PREF,Prefix,,None,,,,,,,
41,2,3,4,3,وَيُقِيمُونَ,ويقيمون,قيم,IV,Stem,,معرب,فعل مضارع,غير مضاف,مرفوع,ثبوت النون,,,
41,2,3,4,4,وَيُقِيمُونَ,ويقيمون,ون,SUBJ_PRON,Suffix,,None,فاعل,,,,,,
42,2,3,5,1,الصَّلَاةَ,الصلاة,ال,DET,Prefix,,ال التعريف,,,,,,,
42,2,3,5,2,الصَّلَاةَ,الصلاة,صلا,GERUND,Stem,,معرب,مفعول به,غير مضاف,منصوب,الفتحة,,,
42,2,3,5,3,الصَّلَاةَ,الصلاة,ة,NSUFF_FEM_SG,Suffix,,None,,,,,,,
43,2,3,6,1,وَمِمَّا,ومما,و,CONJ,Prefix,,مبني,حرف عطف,غير مضاف,مبني,الفتحة,,,
43,2,3,6,2,وَمِمَّا,ومما,من,PREP,Stem,,مبني,حرف جر,غير مضاف,مبني,السكون,,,
43,2,3,6,3,وَمِمَّا,ومما,ما,REL_PRON,Suffix,,اسم موصول,اسم مجرور,غير مضاف,مجرور,السكون,,,
44,2,3,7,1,رَزَقْنَاهُمْ,رزقناهم,رزق,PV,Stem,,مبني,فعل ماضٍ,غير مضاف,مبني,السكون,,,
44,2,3,7,2,رَزَقْنَاهُمْ,رزقناهم,نا,SUBJ_PRON,Suffix,,ضمير متصل,فاعل,غير مضاف,مرفوع,السكون,,,
44,2,3,7,3,رَزَقْنَاهُمْ,رزقناهم,هم,OBJ_PRON,Suffix,,ضمير متصل,مفعول به,غير مضاف,منصوب,السكون,,,
45,2,3,8,1,يُنْفِقُونَ,ينفقون,ي,IV3MP,Prefix,,معرب,,غير مضاف,مرفوع,ثبوت النون,,,
45,2,3,8,2,يُنْفِقُونَ,ينفقون,نفق,IV,Stem,,ضمير متصل,فعل مضارع,غير مضاف,مرفوع,السكون,,,
45,2,3,8,3,يُنْفِقُونَ,ينفقون,ون,IVSUFF_SUBJ:MP_MOOD:I,Suffix,,مبني,فاعل,غير مضاف,مبني,الفتحة,,,
46,2,4,1,1,وَالَّذِينَ,والذين,و,CONJ,Prefix,,مبني,حرف عطف,غير مضاف,مبني,الفتحة,,,
46,2,4,1,2,وَالَّذِينَ,والذين,الذين,REL_PRON,Stem,,اسم موصول,اسم معطوف,غير مضاف,مجرور,الفتحة,,,
47,2,4,2,1,يُؤْمِنُونَ,يؤمنون,ي,IV3MP,Prefix,,,,,,,,,
47,2,4,2,2,يُؤْمِنُونَ,يؤمنون,ؤمن,IV,Stem,,معرب,فعل مضارع,غير مضاف,مرفوع,ثبوت النون,,,
47,2,4,2,3,يُؤْمِنُونَ,يؤمنون,ون,IVSUFF_SUBJ:MP_MOOD:I,Suffix,,ضمير متصل,فاعل,غير مضاف,مرفوع,السكون,,,
48,2,4,3,1,بِمَا,بما,ب,PREP,Prefix,,مبني,حرف جر,غير مضاف,مبني,الكسرة,,,
48,2,4,3,2,بِمَا,بما,ما,REL_PRON,Stem,,اسم موصول,اسم مجرور,غير مضاف,,,,,
49,2,4,4,1,أُنْزِلَ,أنزل,أنزل,PV_PASS,Stem,,مبني,فعل ماضٍ مبني للمجهول,غير مضاف,مبني,الفتحة,,,
50,2,4,5,1,إِلَيْكَ,إليك,إلي,,Stem,,مبني,حرف جر,غير مضاف,مبني,الفتحة,,,
50,2,4,5,2,إِلَيْكَ,إليك,ك,POSS_PRON,Suffix,,ضمير متصل,اسم مجرور,غير مضاف,مبني,الفتحة,,,
51,2,4,6,1,وَمَا,وما,و,CONJ,Prefix,,مبني,حرف عطف,غير مضاف,مبني,الفتحة,,,
51,2,4,6,2,وَمَا,وما,ما,REL_PRON,Stem,,اسم موصول,اسم معطوف,غير مضاف,مجرور,السكون,,,
52,2,4,7,1,أُنْزِلَ,أنزل,أنزل,PV_PASS,Stem,,مبني,فعل ماضٍ مبني للمجهول,غير مضاف,مبني,الفتحة,,,
53,2,4,8,1,مِنْ,من,من,PREP,Stem,,مبني,حرف جر,غير مضاف,مبني,السكون,,,
54,2,4,9,1,قَبْلِكَ,قبلك,قبل,NOUN_ABSTRACT,Stem,,معرب,اسم مجرور,مضاف,مجرور,الكسرة,,,
54,2,4,9,2,قَبْلِكَ,قبلك,ك,POSS_PRON,Suffix,,ضمير متصل,مضاف إليه,غير مضاف,مجرور,الفتحة,,,
55,2,4,10,1,وَبِالْآخِرَةِ,وبالآخرة,و,CONJ,Prefix,,مبني,حرف عطف,غير مضاف,مجزوم,الفتحة,,,
55,2,4,10,2,وَبِالْآخِرَةِ,وبالآخرة,ب,PREP,Prefix,,مبني,حرف جر,غير مضاف,مبني,الكسرة,,,
55,2,4,10,3,وَبِالْآخِرَةِ,وبالآخرة,ال,DET,Prefix,,ال التعريف,,,,,,,
55,2,4,10,4,وَبِالْآخِرَةِ,وبالآخرة,آخر,NOUN_ABSTRACT,Stem,,معرب,اسم مجرور,غير مضاف,مجرور,الكسرة,,,
55,2,4,10,5,وَبِالْآخِرَةِ,وبالآخرة,ة,NSUFF_FEM_SG,Suffix,,None,,,,,,,
55,2,4,10,6,وَبِالْآخِرَةِ,وبالآخرة,(null),CASE_DEF_GEN,Suffix,,None,,,,,,,
56,2,4,11,1,هُمْ,هم,هم,PRON,Stem,,ضمير منفصل مبني,مبتدأ,غير مضاف,مرفوع,السكون,,,
57,2,4,12,1,يُوقِنُونَ,يوقنون,ي,IMPERF_PREF,Prefix,,معرب,,غير مضاف,مرفوع,ثبوت النون,,,
57,2,4,12,2,يُوقِنُونَ,يوقنون,وقن,IV,Stem,,ضمير متصل,فعل مضارع,غير مضاف,مرفوع,السكون,,,
57,2,4,12,3,يُوقِنُونَ,يوقنون,ون,SUBJ_PRON,Suffix,,مبني,فاعل,غير مضاف,مبني,الفتحة,,,
58,2,5,1,1,أُولَئِكَ,أولئك,أولئك,DEM_PRON_MP,Stem,,اسم إشارة,مبتدأ,غير مضاف,مرفوع,الفتحة,,,
59,2,5,2,1,عَلَى,على,على,PREP,Stem,,مبني,حرف جر,غير مضاف,مبني,السكون,,,
60,2,5,3,1,هُدَىً,هدى,هدي,GERUND,Stem,,معرب,اسم مجرور,غير مضاف,مجرور,الكسرة المقدرة,,,
61,2,5,4,1,مِنْ,من,من,PREP,Stem,,مبني,حرف جر,غير مضاف,مبني,السكون,,,
62,2,5,5,1,رَبِّهِمْ,ربهم,رب,NOUN_CONCRETE,Stem,,معرب,اسم مجرور,مضاف,مجرور,الكسرة,,,
62,2,5,5,2,رَبِّهِمْ,ربهم,هم,POSS_PRON,Suffix,,ضمير متصل,مضاف إليه,غير مضاف,مجرور,السكون,,,
63,2,5,6,1,وَأُولَئِكَ,وأولئك,W,CONJ,Prefix,,مبني,حرف عطف,غير مضاف,مبني,الفتحة,,,في العمود ف: حرف العطف مكتوب بالانجليزية
63,2,5,6,2,وَأُولَئِكَ,وأولئك,أولئك,REL_PRON,Stem,,اسم إشارة,مبتدأ,غير مضاف,مرفوع,الكسرة,,,
64,2,5,7,1,هُمُ,هم,هم,PRON,Stem,,ضمير منفصل مبني,مبتدأ,غير مضاف,مرفوع,السكون,جملة اسمية,خبر,
65,2,5,8,1,الْمُفْلِحُونَ,المفلحون,ال,DET,Prefix,,ال التعريف,,,,,,,
65,2,5,8,2,الْمُفْلِحُونَ,المفلحون,مفلح,NOUN_ACTIVE_PART,Stem,,معرب,خبر,غير مضاف,مرفوع,الواو,,,
65,2,5,8,3,الْمُفْلِحُونَ,المفلحون,ون,NSUFF_MASC_PL_NOM,Suffix,.,None,,,,,,,
66,2,6,1,1,إِنَّ,إن,أن,ANNUL_PART,Stem,,مبني,حرف ناسخ (إنّ وأخوتها),غير مضاف,مبني,الفتحة,,,في العمود 4: أن يجب أن تكون إن
67,2,6,2,1,الَّذِينَ,الذين,الذين,REL_PRON,Stem,,اسم موصول,اسم حرف ناسخ,غير مضاف,منصوب,الفتحة,,,
68,2,6,3,1,كَفَرُوا,كفروا,كفر,PV,Stem,,مبني,فعل ماضٍ,غير مضاف,مبني,الضمة,,,
68,2,6,3,2,كَفَرُوا,كفروا,وا,SUBJ_PRON,Suffix,,ضمير متصل,فاعل,غير مضاف,مرفوع,السكون,,,
69,2,6,4,1,سَوَاءٌ,سواء,سواء,NOUN_ABSTRACT,Stem,,معرب,خبر حرف ناسخ,غير مضاف,مرفوع,الضمة,,,
70,2,6,5,1,عَلَيْهِمْ,عليهم,علي,PREP,Stem,,مبني,حرف جر,غير مضاف,مبني,السكون,,,
70,2,6,5,2,عَلَيْهِمْ,عليهم,هم,PRON_3MP,Suffix,,ضمير متصل,اسم مجرور,غير مضاف,مجرور,السكون,,,
71,2,6,6,1,أَأَنْذَرْتَهُمْ,أأنذرتهم,أ,INTERROG,Prefix,,مبني,حرف غير عامل,غير مضاف,مبني,الفتحة,,,
71,2,6,6,2,أَأَنْذَرْتَهُمْ,أأنذرتهم,أنذر,PV,Stem,,مبني,فعل ماضٍ,غير مضاف,مبني,السكون,,,
71,2,6,6,3,أَأَنْذَرْتَهُمْ,أأنذرتهم,ت,SUBJ_PRON,Suffix,,ضمير متصل,فاعل,غير مضاف,مرفوع,الفتحة,,,
71,2,6,6,4,أَأَنْذَرْتَهُمْ,أأنذرتهم,هم,OBJ_PRON,Suffix,,مبني,مفعول به,غير مضاف,مبني,السكون,,,
72,2,6,7,1,أَمْ,أم,أم,CONJ,Stem,,مبني,حرف عطف,غير مضاف,مبني,السكون,,,
73,2,6,8,1,لَمْ,لم,لم,JUSSIVE_PART,Stem,,مبني,حرف جزم,غير مضاف,مبني,السكون,,,
74,2,6,9,1,تُنْذِرْهُمْ,تنذرهم,ت,IMPERF_PREF,Prefix,,None,,,,,,,
74,2,6,9,2,تُنْذِرْهُمْ,تنذرهم,نذر,IV,Stem,,معرب,فعل مضارع,غير مضاف,مجزوم,السكون,,,
74,2,6,9,3,تُنْذِرْهُمْ,تنذرهم,هم,OBJ_PRON,Suffix,,ضمير متصل,مفعول به,غير مضاف,مبني,السكون,,,
75,2,6,10,1,لَا,لا,لا,NEG_PART,Stem,,مبني,,غير مضاف,مبني,السكون,,,
76,2,6,11,1,يُؤْمِنُونَ,يؤمنون,ي,IV3MP,Prefix,,معرب,,غير مضاف,مرفوع,ثبوت النون,,,
76,2,6,11,2,يُؤْمِنُونَ,يؤمنون,ؤمن,IV,Stem,,ضمير متصل,فعل مضارع,غير مضاف,مرفوع,السكون,,,
76,2,6,11,3,يُؤْمِنُونَ,يؤمنون,ون,IVSUFF_SUBJ:MP_MOOD:I,Suffix,,مبني,فاعل,غير مضاف,مبني,الفتحة,,,
77,2,7,1,1,خَتَمَ,ختم,ختم,PV,Stem,,مبني,فعل ماضٍ,غير مضاف,مبني,الفتحة,,,
78,2,7,2,1,اللَّهُ,الله,ال,DET,Prefix,,None,,,,,,,
78,2,7,2,2,اللَّهُ,الله,له,NOUN_PROP,Stem,,معرب,فاعل,غير مضاف,مرفوع,الضمة,,,
79,2,7,3,1,عَلَى,على,على,PREP,Stem,,مبني,حرف جر,غير مضاف,مبني,السكون,,,
80,2,7,4,1,قُلُوبِهِمْ,قلوبهم,قلوب,NOUN_CONCRETE,Stem,,معرب,اسم مجرور,مضاف,مجرور,الكسرة,,,
80,2,7,4,2,قُلُوبِهِمْ,قلوبهم,(null),CASE_DEF_GEN,Suffix,,None,,,,,,,
80,2,7,4,3,قُلُوبِهِمْ,قلوبهم,هم,POSS_PRON_3MP,Suffix,,ضمير متصل,مضاف إليه,غير مضاف,مجرور,السكون,,,
81,2,7,5,1,وَعَلَى,وعلى,و,CONJ,Prefix,,مبني,حرف عطف,غير مضاف,مبني,الفتحة,,,
81,2,7,5,2,وَعَلَى,وعلى,على,PREP,Stem,,مبني,حرف جر,غير مضاف,مبني,السكون,,,
82,2,7,6,1,سَمْعِهِمْ,سمعهم,سمع,GERUND,Stem,,معرب,اسم مجرور,مضاف,مجرور,الكسرة,,,
82,2,7,6,2,سَمْعِهِمْ,سمعهم,هم,POSS_PRON,Suffix,,ضمير متصل,مضاف إليه,غير مضاف,مجرور,السكون,,,
83,2,7,7,1,وَعَلَى,وعلى,و,CONJ,Prefix,,مبني,حرف غير عامل,غير مضاف,مبني,الفتحة,,,
83,2,7,7,2,وَعَلَى,وعلى,على,PREP,Stem,,مبني,حرف جر,غير مضاف,مبني,السكون,,,
84,2,7,8,1,أَبْصَارِهِمْ,أبصارهم,أبصار,NOUN_ABSTRACT,Stem,,معرب,اسم مجرور,مضاف,مجرور,الكسرة,,,
84,2,7,8,2,أَبْصَارِهِمْ,أبصارهم,هم,POSS_PRON,Suffix,,ضمير متصل,مضاف إليه,غير مضاف,مجرور,السكون,,,
85,2,7,9,1,غِشَاوَةٌ,غشاوة,غشاو,GERUND,Stem,,معرب,مبتدأ,غير مضاف,مرفوع,الضمة,,,
85,2,7,9,2,غِشَاوَةٌ,غشاوة,ة,NSUFF_FEM_SG,Suffix,,None,,,,,,,
86,2,7,10,1,وَلَهُمْ,ولهم,و,CONJ,Prefix,,مبني,حرف عطف,غير مضاف,مبني,الفتحة,,,
86,2,7,10,2,وَلَهُمْ,ولهم,ل,PREP,Stem,,مبني,حرف جر,غير مضاف,مبني,الفتحة,,,
86,2,7,10,3,وَلَهُمْ,ولهم,هم,POSS_PRON,Suffix,,ضمير متصل,اسم مجرور,غير مضاف,مبني,السكون,,,
87,2,7,11,1,عَذَابٌ,عذاب,عذاب,NOUN_ABSTRACT,Stem,,معرب,مبتدأ,غير مضاف,مرفوع,الضمة,,,
88,2,7,12,1,عَظِيمٌ,عظيم,عظيم,ADJ_QUALIT,Stem,,معرب,نعت,غير مضاف,مرفوع,الضمة,,,
89,2,8,1,1,وَمِنَ,ومن,و,CONJ,Prefix,,مبني,حرف غير عامل,غير مضاف,مبني,الفتحة,,,
89,2,8,1,2,وَمِنَ,ومن,من,PREP,Stem,,مبني,حرف جر,غير مضاف,مبني,السكون,,,
90,2,8,2,1,النَّاسِ,الناس,ال,DET,Prefix,,ال التعريف,,,,,,,
90,2,8,2,2,النَّاسِ,الناس,ناس,NOUN_CONCRETE,Stem,,معرب,اسم مجرور,غير مضاف,مجرور,الكسرة,,,
91,2,8,3,1,مَنْ,من,من,REL_PRON,Stem,,اسم موصول,مبتدأ,غير مضاف,مرفوع,السكون,,,
92,2,8,4,1,يَقُولُ,يقول,ي,IMPERF_PREF,Prefix,,None,,,,,,,
92,2,8,4,2,يَقُولُ,يقول,قول,IV,Stem,,معرب,فعل مضارع,غير مضاف,مرفوع,الضمة,,,
93,2,8,5,1,آمَنَّا,آمنا,آمن,PV,Stem,,مبني,فعل ماضٍ,غير مضاف,مبني,السكون,,,
93,2,8,5,2,آمَنَّا,آمنا,نا,SUBJ_PRON,Suffix,,ضمير متصل,فاعل,غير مضاف,مرفوع,السكون,,,
94,2,8,6,1,بِاللَّهِ,بالله,ب,PREP,Prefix,,مبني,حرف جر,غير مضاف,مبني,الكسرة,,,
94,2,8,6,2,بِاللَّهِ,بالله,ال,DET,Prefix,,None,,,,,,,
94,2,8,6,3,بِاللَّهِ,بالله,له,NOUN_PROP,Stem,,معرب,اسم مجرور,غير مضاف,مجرور,الكسرة,,,
95,2,8,7,1,وَبِالْيَوْمِ,وباليوم,و,CONJ,Prefix,,مبني,حرف عطف,غير مضاف,مبني,الفتحة,,,
95,2,8,7,2,وَبِالْيَوْمِ,وباليوم,ب,PREP,Prefix,,مبني,حرف جر,غير مضاف,مبني,الكسرة,,,
95,2,8,7,3,وَبِالْيَوْمِ,وباليوم,ال,DET,Prefix,,ال التعريف,,,,,,,
95,2,8,7,4,وَبِالْيَوْمِ,وباليوم,يوم,NOUN_ABSTRACT,Stem,,معرب,اسم مجرور,غير مضاف,مجرور,الكسرة,,,
96,2,8,8,1,الْآخِرِ,الآخر,ال,DET,Prefix,,ال التعريف,,,,,,,
96,2,8,8,2,الْآخِرِ,الآخر,آخر,ADJ_COMP,Stem,,معرب,نعت,غير مضاف,مجرور,الكسرة,,,
96,2,8,8,3,الْآخِرِ,الآخر,(null),CASE_DEF_GEN,Suffix,,None,,,,,,,
97,2,8,9,1,وَمَا,وما,و,CONJ,Prefix,,مبني,حرف غير عامل,غير مضاف,مبني,الفتحة,,,
97,2,8,9,2,وَمَا,وما,ما,NEG_PART,Stem,,مبني,ما العاملة عمل ليس,غير مضاف,مبني,السكون,,,
98,2,8,10,1,هُمْ,هم,هم,PRON,Stem,,ضمير منفصل مبني,اسم فعل ناسخ,غير مضاف,مرفوع,السكون,,,
